,content
274,Are the pleasures of junk food just an illusion? chefannc says yes: http://ow.ly/HjXc5 eatrealfood
275,How will Obamacare affect your taxes? http://ow.ly/HjYbA ACA
276,7 mindless eating solutions: http://ow.ly/Hkaz9
277,"Paleo, WeightWatchers or Mediterranean? Everyone's answer's not the same. How to choose the best diet for you: http://ow.ly/HkwRj"
278,"The junk food industry invests billions creating the illusion that unhealthy food is nourishing, delicious and fun. http://ow.ly/Hkxy0"
279,"Picking a diet is one thing, sticking to it is another. Here's how to do the latter: http://ow.ly/HkxPE"
280,"There's often more to blood pressure than a single reading, lisaespo reports. http://ow.ly/Hkygw"
281,13 Habits of Highly Effective Fitness Tracker Users: http://ow.ly/HkyzS wearabletech
282,RT usnews: This is why you have a crazy black toenail http://ow.ly/Hl5UN http://pbs.twimg.com/media/B7WSRmDCAAA1d_A.jpg
283,"Why the top ""health"" trends aren't so healthy after all: http://ow.ly/HkBb3"
284,"Here are USNews's ""easiest diets to follow"" (presented in the easiest way: pictures!) http://ow.ly/Hkzi4"
285,What are the BestDiets overall? Our rankings here: http://ow.ly/HkBEo
286,How to snack smarter today (and the rest of the year) by eatsmartbd: http://ow.ly/HmC72
287,Heart failure may just have met its match: http://ow.ly/HmEvc hearthealth
288,Does your diet include exercise? It should. http://ow.ly/HmFJo
289,"How well do you know the usnews ""Best Diets""? http://ow.ly/HmGiu bestdiets"
290,".@KeriGans pleads: ""Don't make these 7 diet mistakes"" http://ow.ly/Hnr8E"
291,Is telepsychiatry the new frontier in mentalhealth? CraneKristine reports: http://ow.ly/HnteG
292,"Don't sabotage your weightloss with snacks. How to snack smarter in 2015, by eatsmartbd: http://ow.ly/Hnrz6"
293,Health Buzz: Taking a walk may save your life: http://ow.ly/HnJOe
294,Think more protein and less carbs is always better for dinner? Think again. KeriGans reveals 6 other diet mistakes: http://ow.ly/HnrrO
295,Would you Skype with your psychiatrist? It's happening. http://ow.ly/HnQwH mentalhealth
296,Why is bipolar disorder so hard to diagnose? http://ow.ly/HnUCo
297,"News flash: ""I eat a salad for lunch"" is not an indicator of good health. KeriGans dispels other weightloss myths: http://ow.ly/HnsPx"
298,Look for at least 5 grams of fiber -- and 7 other tips for healthy snacking from eatsmartbd http://ow.ly/HnRYA
299,It took one woman 13 years and several doctors to get the right diagnosis for bipolar. What's the holdup? http://ow.ly/HnV5w
300,"Easy ways to get 10,000 steps a day. http://ow.ly/HoSu3"
301,RT leonardkl: A new way to treat obesity shows that there is more to a cure than prescribing diet and exercise. http://bit.ly/1CsArJE
302,"Do you eat a healthy diet but party hard on the weekends? Common mistake, says KeriGans. Here are 6 more: http://ow.ly/HqdPL"
303,Research suggests bipolar disorder is 60 percent hereditary. What's the other 40 percent? http://ow.ly/Hqgck
304,"Before you hit up Starbucks, read this. ""How to order a healthy cup of coffee"" by KeriGans http://ow.ly/HqgWV"
305,Snack attack! 86% of Americans snack daily &amp; 51% of snackers eat 3 or more snacks per day. How to do it right: http://ow.ly/HqffE
306,"Do you have ""device fatigue"" (i.e. you're bored of your old phone or fitness tracker?) AnnaMedaris to the rescue! http://ow.ly/HqiHH"
307,How do you know if you overdid it at the gym -- and what can you do about it? ThriveFit answers: http://ow.ly/HrvKb
308,RT angelahaupt: About to chat with SamanthaHeller on SiriusXM Doctor Radio -- tune in! BestDiets
309,"Why would you give up meat? Let us count the ways. ""7 Reasons to Choose a Plant-Based Diet"" http://ow.ly/HqkRs"
310,"RT ScritchfieldRD: There's more to body shape &amp; size than diet/exercise - genetics, environment &amp; life stage matter http://ow.ly/vhIh0"
311,RT AnnaMedaris: Are you a super early riser? (As in 4 or 5am?) I want to know how you get yourself out of bed! Mornings
312,"Do  you have ""white coat hypertension?"" It could be throwing off your blood pressure readings. http://ow.ly/HqlMR"
313,What's it like to volunteer for a clinical research trial? 2 patients tell LacieJaeGlo their stories. http://ow.ly/HrCIQ
314,Delayed onset muscle soreness is a thing. What it is and how to treat it: http://ow.ly/Hrxje fitness
315,Are energy drinks really that bad? AnnaMedaris reports: http://ow.ly/HrUnX
316,How to make your meals more exciting by engaging your senses: http://ow.ly/Hryua cooking
317,"How to become a home cook (yes, you!) http://ow.ly/Hqj14 cooking family yum"
318,"Is the ""autoimmune paleo diet legit?"" lisaespo explores: http://ow.ly/HsBpX"
319,Did you work out hard today so you can go out harder tonight? What experts say about that philosophy: http://ow.ly/HqeGx running
320,Taste is only one party of the eating experience. How to engage your senses to spice up mealtime: http://ow.ly/Hrznk
321,"Energy drinks get a bad rap, but most healthy adults can handle one a day: http://ow.ly/HrULL"
322,Pushed yourself too hard at the gym? How to recover quicker: http://ow.ly/HsAIx
323,Start your weekend off right with these high-#protein breakfast ideas: http://ow.ly/HsDJT
324,RT lisaespo: Can an even-stricter Paleo diet help people with autoimmune diseases? http://tinyurl.com/n69je7o
325,"How to lose 50 pounds without really trying, by KeriGans http://ow.ly/HsEaE weightloss"
326,RT ThriveFit: It's happening a lot right now...I Overdid It At the Gym. Now What? - usnews http://buff.ly/1AYXBr4 eat+run FitFluential
327,Already thrown in the towel on your New Year's Resolution? Maybe it's time to try a new approach. (Hint: yoga) http://ow.ly/HuefM
328,How much do you know about plant-based diets? Here's one way to find out: http://ow.ly/HuatA eatplants
329,"RT benharder: CDC: Hospitals Lower Health Care-Associated Infections, by caseyleinsUMD usnews USNewsHealth http://health.usnews.com/health-news/hospital-of-tomorrow/articles/2015/01/16/hospitals-lower-health-care-associated-infections"
330,How bad (or not) are energy drinks anyway? AnnaMedaris explores: http://ow.ly/Hu8Gl
331,"Open your eyes, not just your mouth! ""How to make your meals exciting by engaging the senses:""  http://ow.ly/HsAxr"
332,"Do you skip the carbs at dinner? Common diet mistake, says KeriGans. Here's 6 more: http://ow.ly/Hu8W5"
333,"Would you skype your psychiatrist? For some, it's a necessity, reports CraneKristine http://ow.ly/HuaEF psychiatry mentalhealth"
334,"Before you get in line for ""50 shades of gray,"" read this. ""The truth about BDSM"" http://ow.ly/HsFxz"
335,"What the heck is the ""autoimmune paleo diet"" -- and does it work? lisaespo finds out: http://ow.ly/Hub1w"
336,Would you volunteer for a clinical research trial? 2 people who've done it share their experiences: http://ow.ly/HubIo
337,You say it's your spouse who wants to lose weight? How to help: http://ow.ly/HueD7 weightloss marriage
338,"Feeling sore today from your workout on Friday? Your body's telling you something, says ThriveFit http://ow.ly/HucYb"
339,"Everyone's body's not the same, so why should their diets be? How to pick the best one for you: http://ow.ly/HueSA bestdiets"
340,5 comfort foods that are actually good for you: http://ow.ly/Hufj6 yum
341,RT LacieJaeGlo: Hate bigpharma? two patients tell stories of the good that comes of their research: http://buff.ly/1wgrazn
342,I overdid it at the gym. Now what? http://ow.ly/HxhXh
343,Wake up and smell the smoothies! Why the (homemade) treats make the perfect breakfast: http://ow.ly/Hxi2Z
344,Fitness tracker critics say they can fuel unhealthy obsessions and take away from the joy of exercise: http://ow.ly/Hxibq
345,What are the usnews bestdiets for healthy eating? You may not have even heard of numbers one and two: http://ow.ly/Hxjbf
346,"Having a salad today for lunch? Common diet mistake No. 4, says KeriGans. Here are the others: http://ow.ly/HxjIP"
347,How to know if you're exercising too much: http://ow.ly/Hxiq3
348,RT usnews: A GOP-backed bill would ban abortions 20 weeks after fertilization. http://ow.ly/Hzb1l http://pbs.twimg.com/media/B7uQ9rWCIAAsZ9-.jpg
349,Why more women are forgoing the hospital for childbirth: http://ow.ly/HAbTe midwifery
350,What you need to know about bipolar disorder: http://ow.ly/HAcVv mentalhealth
351,Business travel is tough on steady diets. How to deal: http://ow.ly/HB88b
352,"RT ClevelandClinic: Patients say autoimmune paleo makes them feel better, but is it legit? http://bit.ly/1Cgiv4D http://pbs.twimg.com/media/B7th-2iCYAE0FLO.jpg"
353,Why are we obsessed with ancient grains - and is the hype warranted? FrancesLRothRD says yes: http://ow.ly/HCuNb
354,RT Steph_Steinberg: Your blood pressure reading taken at the doctor's office is probably wrong. lisaespo explains: http://t.usnews.com/Z5rifm
355,"What you eat matters, but what about when you eat it? That matters too, says tamaraduker http://ow.ly/HDnyZ"
356,"Lifelong marathoners beware: long-term endurance exercise has been linked w/ anxiety, depression &amp; heart problems. http://ow.ly/HDrGA"
357,"RT AnnaMedaris: Postpartum anxiety is a thing. A big one,. How to know when it's time to get help: http://ow.ly/HDUkk motherhood"
358,"How much exercise is too much? (Hint: The answer is not ""you can never have too much."") http://ow.ly/HDsaz"
359,"Do you have postpartum anxiety, or are you just being a good mom? http://ow.ly/HED8L"
360,Are you a mindless eater? The problem is your environment - not your willpower:  http://ow.ly/HEXgt
361,"When it comes to grains, older may truly be wiser. FrancesLRothRD explains why: http://ow.ly/HEDCN nutrition"
362,"Why you should treat ""breakfast like a prince, lunch like a king, dinner like a pauper,"" according to tamaraduker Thttp://ow.ly/HEY0V"
363,Got a whopping medical bill? How to pay it even when you think you can't: http://ow.ly/HF3Pj
364,"Why you should dump your fridge of these ""five food felons,"" according to DrMikeRoizen http://ow.ly/HGxap cleaneating"
365,"8 Things You Should Never Say to Yourself About Food, by JanetHelm: http://ow.ly/HGEN6"
366,The best diets for seniors by CraneKristine http://ow.ly/HHo3W bestdiets
367,4 Reasons Why Diets Don't Work by WholeGreenYou http://ow.ly/HHAws
368,RT lisaespo: Some extra advice for seniors choosing a new diet: USNewsHealth http://bit.ly/1L0vltL
369,There are a lot of mixed messages about ProstateCancer surveillance and treatment. Deborah Kotz sorts them out: http://ow.ly/HHCM5
370,RT AnnaMedaris: Have you and your (opposite sex) partner ever tried the same diet -- with different results? I want to hear your story!
371,"7 Reasons You're Waking Up All Wrong &amp; how to do it the expert-approved way, by AnnaMedaris http://ow.ly/HHGXA sleep coffee"
372,RT AnnaMedaris: Have you and your (opposite sex) partner ever tried the same diet -- with different results? I want to hear your story!
373,"Want to get pregnant? Eating certain foods could up your chances, CraneKristine reports: http://ow.ly/HI8k1 pregnancy fertility"
374,"3 steps to clean up your pantry &amp; your diet: Dump simple sugars, saturated fat &amp; enriched flours, says DrMikeRoizen http://ow.ly/HIa5v"
375,"I shouldn't be eating this, ""I can't help it"" &amp; 5 other things you should never say to yourself about food: http://ow.ly/HIFvr"
376,10 Reasons to See a Physician Assistant: http://ow.ly/HIOWw
377,Prostate Cancer: To treat or not to treat? http://ow.ly/HIRJc cancer
378,How to ensure health care providers honor your end-of-life wishes: http://ow.ly/HIS38
379,Age is more than a number when it comes to diet. Here are the best for seniors: http://ow.ly/HIUdv
380,Physical therapy red flag 1: A hot pack. Other PT practices to question: http://ow.ly/HIRqQ
381,Feeling sleepy? You may be making one of these 7 common wake-up mistakes: http://ow.ly/HITXS
382,Screenings can help detect prostate cancer early. But then what? http://ow.ly/HKSJ7 menshealth
383,Could lifelong endurance exercise actually be bad for you? http://ow.ly/HLjjr
384,"How to Tame Your Sweet Tooth in 3 Easy Steps, by MelindaRD http://ow.ly/HLrLr"
385,What's it like to live with seizures? http://ow.ly/HLv66 epilepsy
386,"RT angelahaupt: Your most useful guide of the day, courtesy of MelindaRD: How to tame your sweet tooth in 3 steps. http://t.usnews.com/Z62pmt"
387,.@CraneKristine has condensed everything you need to know about HIPAA into 10 slides: http://ow.ly/HMeZw
388,"Why the ""calories in versus calories out"" theory of weightloss is outdated: http://ow.ly/HLvCr"
389,Can an even stricter paleo diet help people with autoimmune disorders? http://ow.ly/HLw3C
390,"Feeling forgetful? Try a walnut, study suggests: http://ow.ly/HLyCA memory"
391,"You don't have to nix sugar entirely, but you sure can cut back, says MelindaRD http://ow.ly/HLt1A"
392,"In SOTU, Obama had hospitals and doctors cheering, thanks to PersonalizedMedicine MT http://ow.ly/HMQeJ"
393,RT ClevelandClinic: Epilepsy causes vary from person to person. More on USNewsHealth: http://bit.ly/1EwBqK3 http://pbs.twimg.com/media/B7983_GCYAAAhbG.jpg
394,Woah: 73% of people with bipolar disorder are initially misdiagnosed. http://ow.ly/HNtdq
395,Is the GOP waging a war on science? http://ow.ly/HNvme
396,When you eat matters. Here's why: http://ow.ly/HNvas
397,"Yes, fruit has sugar. Sugar's bad. Does that make fruit bad? TobyAmidor has the scoop: http://ow.ly/HP7UQ"
398,We're hiring! health wellness journalism jobs http://ow.ly/HNtJw
399,Visualize sugar content in teaspoons &amp; 2 other steps to tame your sweet tooth: http://ow.ly/HNwyD
400,Do you have seasonal affective disorder? 8 ways to feel better now. http://ow.ly/HNvPS depression
401,What's the big deal with this Whole30 craze? http://ow.ly/HNwHS
402,Health doesn't have to cost a fortune. 5 ways to save on your weightloss goals: http://ow.ly/HQPSn
403,What's it like to live with seizures? Epilepsy 101: http://ow.ly/HNx1G
404,10 Tips for Eating More Real Food: http://ow.ly/HNyEg
405,Attention women: Here's what you need to know about heart bypass surgery: http://ow.ly/HR3yS
406,Is the hipster diet hypocritical? http://ow.ly/HR4Zc bacon beer
407,Should I limit my fruit intake? http://ow.ly/HRh8I
408,Is this new device that's implanted in the stomach the answer to obesity? http://ow.ly/HRVGS
409,RT Steph_Steinberg: The average American consumes 20 tsp of sugar a day. Women aren't supposed have more than 6. http://health.usnews.com/health-news/blogs/eat-run/2015/01/22/how-to-tame-your-sweet-tooth-in-3-steps?src=usn_tw
410,What to do when a spouse is diagnosed with a critical illness: http://ow.ly/HRVOR
411,Confused about HIPAA? CraneKristine decodes it in 10 slides: http://ow.ly/HRVWT
412,9 tricks that will help you stick to your diet: http://ow.ly/HRW0m weightloss
413,Do you really need heart bypass surgery? http://ow.ly/HUnG9
414,"What the heck is freekah, and why should you be eating it? http://ow.ly/HUnXR"
415,You've heard about postpartum depression; this is postpartum anxiety: http://ow.ly/HUorl parenthood
416,5 extreme diets you shouldn't try: http://ow.ly/HUoAP
417,What's it like to volunteer for a clinical research trial? http://ow.ly/HUptj
418,Take a walk today! New research suggests it may save your life: http://ow.ly/HWmXL
419,Can a new device implanted in the stomach treat obesity? http://ow.ly/HWnmN
420,3 Easy Plant-Based Breakfasts from Brendan_Brazier http://ow.ly/HWV2I yum eatplants
421,"Is a new stomach implant the answer to obesity? Hardly, says DrDavidKatz http://ow.ly/HWY8j http://pbs.twimg.com/media/B8SWacRIIAE3yVY.jpg"
422,Fifth disease &amp; 4 other lesser-known ailments all parents should have on their radar: http://ow.ly/HWYKQ parenting
423,Pharmaceutical companies have their share of critics. Here's their side from LacieJaeGlo http://ow.ly/HX3I4
424,Snow rage is a thing. Take these steps to cope before it hits you: http://ow.ly/HXaEc blizzardof2015 http://pbs.twimg.com/media/B8S7A1GIUAATDny.jpg
425,Would you (or do you) work out with your coworkers? http://ow.ly/HX5KF
426,You and your spouse have different bodies. So why wouldn't you have different diets? http://ow.ly/HXrcK
427,"RT angelahaupt: If you're thinking snow, think food safety. tamaraduker's guide to kitchen prep: http://t.usnews.com/Z674p0. blizzardof2015"
428,"On antibiotics? Take them with a side of probiotics, says tamaraduker.  http://ow.ly/HX9mF guthealth"
429,"RT DrDavidKatz: Diseases, Devices and Delusions http://ln.is/health.usnews.com/he/rFinI via usnews"
430,Battle of the Sexes: Diets Edition. What are the bestdiets for men vs. women? http://ow.ly/HXryT
431,RT leonardkl: What's really behind the MeaslesOutbreak? The anti-vaccination movement is only partially to blame: http://bit.ly/15NevPa.
432,What's for breakfast? 3 easy plant-based ideas http://ow.ly/I0MCZ yum http://pbs.twimg.com/media/B8W1lFeIQAEYPfi.jpg
433,Holed up in the East? So is this dietitian. How she prepared for Blizzardof2015: http://ow.ly/I0OKu
434,Is cardio dead? http://ow.ly/I1dR0 fitness
435,Now this puts the California measles outbreak into perspective. http://ow.ly/I0MXp http://pbs.twimg.com/media/B8XpL8KIEAAy3No.png
436,About 2.7 million Americans have atrial fibrillation. How do they live with it? http://ow.ly/I1QPs
437,"Take the 52NewFoods challenge &amp; you might also lose weight, cook more and be healthier: http://ow.ly/I0NUO"
438,Are you exercising too much? http://ow.ly/I2zbx
439,How much do your chromosomes matter when it comes to weightloss?http://ow.ly/I2zAJ
440,Snack time! How to enjoy it without derailing your diet: http://ow.ly/I2zS0
441,"Have you given up on cardio in favor of HIIT or crossfit? Don't, says JeffHalevy http://ow.ly/I2AFr"
442,"Today, antibiotics treat strep throat &amp; ear infections. That may not always be the case. http://ow.ly/I2Elu"
443,bcuban Whoops! Looks like we thanked you via Facebook. But the message is the same: Thanks for all the RTs!
444,"RT usnews: Exercising on vacation? Say hello to your ""running concierge."" http://ow.ly/I2Jqm  BestHotels15 http://pbs.twimg.com/media/B8YbxT1CAAAgI3P.jpg"
445,5 childhood ailments all parents should have on their radar: http://ow.ly/I2Fmw
446,Got a-Fib? You're not alone. Here's how to live with it: http://ow.ly/I3idK hearthealth
447,8 Common Digestive Problems and How to Heal Them: http://ow.ly/I3jEj gastro
448,"RT annamedaris: HIIT, CrossFit &amp; 7-minute workouts are in. But jeffhalevy says that shouldn't push cardio out. http://ow.ly/I2CYd"
449,MentalHealth advocates rally behind RepTimMurphy's bill: http://ow.ly/I3l4t
450,The calories you stir into your coffee count. How to order a healthy cup: http://ow.ly/I4ODV
451,The Truth About Bone Broth KeriGans explores the science behind the claims: http://ow.ly/I50q9
452,Prescription drugs in the U.S. can be up to 40% more expensive than in other countries. Why? http://ow.ly/I50Pz
453,Is your old activity tracker collecting dust? Give it new life with these 4 tips: http://ow.ly/I516I wearabletech
454,One man's secret to a 100 lb weight loss? A plant-based diet: http://ow.ly/I5Rzc
455,"A man &amp; his wife go on a diet. He loses weight, she gets gallstones. Why? http://ow.ly/I5VvC"
456,"RT lisaespo: Doug kept his leukemia on the down-low, until he couldn't. So he tried an experimental treatment: http://bit.ly/1wB5wWI USN…"
457,Will 2015 be the year for breakthroughs in leukemia treatment? lisaespo explores what's new: http://ow.ly/I63uA
458,Your ProstateCancer treatment guide: surgery or radiation? http://ow.ly/I6GZz
459,Does your daughter think she's fat? 9 ways to respond: http://ow.ly/I6Mqf
460,RT angelahaupt: What do Kim and Kanye have to do with the power of the plantbased diet? Well... http://t.usnews.com/Z68rmp
461,What's the deal with this bone broth trend? http://ow.ly/I5Sj1 http://pbs.twimg.com/media/B8dvcmwCMAASDzf.jpg
462,"Did you know Westin has ""run concierges"" &amp; Kimpton provides yoga mats? We like this trend! http://ow.ly/I6lob besthotels"
463,Just how far some people go to get their 10000steps a day: http://ow.ly/I5X8v
464,"RT AnnaMedaris: Do you hate exercise? You've tried it all, but still, no endorphins? I want to talk to you!"
465,What's for dinner? Plants! http://ow.ly/I7gX2
466,"RT Steph_Steinberg: Is bone broth all hype, or do the health claims have merit? kerigans investigates: http://health.usnews.com/health-news/blogs/eat-run/2015/01/28/the-truth-about-bone-broth"
467,How to Be a Supermarket Sleuth: Produce Edition by eatsmartbd http://ow.ly/I8WIj
468,Cooking for the SuperBowl? Make these swaps for a nutritional (and palatable) touchdown. http://ow.ly/I8Yrp http://pbs.twimg.com/media/B8heosfIcAELUv9.jpg
469,"SuperBowl Downer Alert: ""Youth Football Linked to Long-Term Brain Damage in NFL Players"" http://ow.ly/I9Cww"
470,What Not to Say to Someone With an Eating Disorder http://ow.ly/I9GbW
471,RT alneuhauser: Youth tackle football linked to brain damage in ex-NFL players. http://www.usnews.com/news/articles/2015/01/28/youth-football-linked-to-long-term-brain-damage-in-nfl-players http://pbs.twimg.com/media/B8hgZRXCAAEBqso.jpg
472,What's the problem with a new device to fight obesity? Let DrDavidKatz count the ways. http://ow.ly/I9JEb
473,Is the upcoming SCOTUS case overshadowing Obamacare's progress? leonardkl reports: http://ow.ly/I9Kfb
474,"Should your son play tackle football before age 12? All signs from this study point to ""No Way"" http://ow.ly/I9HcM"
475,"Sent home too soon? ""The Difficult Art of Hospital Discharge"" by CraneKristine http://ow.ly/IaUpd healthcare"
476,9 ways to respond to a child who thinks he or she is fat: http://ow.ly/I9GQI parenting
477,"Dietitian-approved wings, mozzarella sticks &amp; nachos? Yes please! http://ow.ly/I9IOO SuperBowl"
478,Why a plant-based diet is your prescription for optimal health: http://ow.ly/IaxBN
479,Don't compliment them or talk about food. What else you shouldn't say to people with eatingdisorders: http://ow.ly/I9KHo
480,"Fresh, frozen or canned? eatsmartbd decodes the produce aisle: http://ow.ly/Ibk3V"
481,Got baby fever? Eat these fertility-friendly foods: http://ow.ly/Ibklb
482,"Avoid these 8 foods, avoid bloating: http://ow.ly/Ibnj2"
483,"Before you and your (opposite sex) partner go on the same diet, read this: http://ow.ly/Id2Tr"
484,Are you among the 30 percent of Americans who skimp on meds to save money? http://ow.ly/Id3VU
485,"Upgrade your toast, or start with a smoothie. Other easy plant-based breakfast ideas: http://ow.ly/Id4Rk"
486,4 traps to avoid if you're aiming to get fit: http://ow.ly/IdxL1 by LacieJaeGlo fitness
487,Have you jumped on the bone broth bandwagon? KeriGans evaluates the trend: http://ow.ly/Id6Gb
488,What goes on in those hospital labs anyway? lisaespo goes behind the scenes. http://ow.ly/Idysg
489,Know someone who might have an eating disorder? Here's what not to say: http://ow.ly/Id4wD http://pbs.twimg.com/media/B8n6f2CIcAEU076.jpg
490,RT LacieJaeGlo: Trying to get fit this year? Don't fall for these pitfalls: http://buff.ly/1DeTjMa via USNewsHealth and nerdhealth
491,Got sent home from the hospital too soon (or not soon enough)? Here's why. http://ow.ly/IeSNd
492,"Blame your resolution, not you, if you can't keep it. http://ow.ly/IeVlD"
493,Bad news for young tackle football players. http://ow.ly/I9HcM concussion superbowl
494,More than 500 Americans have been screened &amp; tested negative for MERS. What's with the new CDC advisory? http://ow.ly/IeUWC
495,"Your ""what should I bring to the super bowl party"" problem solved http://ow.ly/I9IOO superbowl"
496,Diagnosed with prostate cancer? Your surgery v. radiation decision guide: http://ow.ly/IgyxA
497,Vegetarian v. traditional Asian v. Ornish? The top 5 plant-based diets: http://ow.ly/IgyZK
498,9 Things to Say and Do if Your Daughter Thinks She's Fat: http://ow.ly/IhZXB motherhood parenting
499,Is 2015 your year to shape up? Avoid these 4 traps. http://ow.ly/Ii0pt
500,An NFL nutritionist spills how much &amp; what players eat: http://ow.ly/Ii0yE superbowl
501,RT AmerMedicalAssn: SuperBowl snack swaps to keep your diet in check on game day: http://spr.ly/6019Isnx SuperBowlXLIX
502,5 Comfort Foods That Are Actually Good For You: http://ow.ly/Ii2Ku http://pbs.twimg.com/media/B8yEu3ECUAAC4Yj.jpg
503,How to eat like an athlete (not a couch potato) on game day: http://ow.ly/Ii0Tw superbowl
504,"Are potatoes healthy, or just sugar in disguise? http://ow.ly/Ii3hW"
505,Is yoga the answer to the NFL's criminal culture? http://ow.ly/Ii3BC
506,Study: youth football &amp; long-term brain damage go hand in hand. http://ow.ly/Ii4rw superbowl
507,Got a sweet tooth? We've got 3 ways to tame it. http://ow.ly/Ii4FE http://pbs.twimg.com/media/B80DkKzCAAAtoq7.jpg
508,RT BerkeleyWell: USNewsHealth ranked the Ornish Diet No. 1 for hearthealth in 2015. Is it for you?  http://ow.ly/IkL6x
509,Where does that blood sample go after it's drawn from your arm? lisaespo goes behind the scenes: http://ow.ly/IkLuB
510,Does eating celery really leave you in a calorie deficit? 6 food facts and myths: http://ow.ly/IkMf4
511,6 Ways to Be Your Own Health Advocate by ElizabethRenter http://ow.ly/IlpOr
512,Why to keep eating plants through February – and throughout the year. http://ow.ly/IlzuW http://pbs.twimg.com/media/B82fQ27IEAA1Xd2.jpg
513,Is your partner sabotaging your weightloss efforts? You're not alone. http://ow.ly/IlxUz
514,Ironman &amp; double amputee Scott Rigsby on how to achieve your fitness goals: http://ow.ly/ImmRx http://pbs.twimg.com/media/B825oUnIMAArwK3.jpg
515,The latest in leukemia research &amp; treatment: http://ow.ly/ImpM7
516,Does microwaving food reduce its nutrient content? http://ow.ly/Ilxhb
517,8 Questions to Ask Before Hip Replacement Surgery by CraneKristine http://ow.ly/ImKFk
518,Doctor's orders are no longer the last word. How to advocate for yourself: http://ow.ly/ImLeb healthcare
519,Dinner time! How to make your meals more exciting by engaging the senses. http://ow.ly/ImLXy
520,Feeling SAD? It's all Punxsutawney Phil's fault. How not to let winter get you down: http://ow.ly/ImOmf groundhogday
521,What's it take to complete an Ironman? This guy did it with prosthetic legs. http://ow.ly/Imq63
522,Know someone with an eating disorder? Steer clear of stereotypes &amp; nix shock and disgust. http://ow.ly/ImQWm
523,6 Tips for Safe and Healthy Online Dating http://ow.ly/InoSG BeMine
524,"How can you find the best workout for you? ""7-minute workout"" creator Chris Jordan has the answer: http://ow.ly/IpAnp"
525,Getting your hip replaced? Make sure you ask these 8 questions: http://ow.ly/Inppv orthopaedics
526,"Welcome to the future: A DIY, take-home ColonCancer test named Cologuard:  http://ow.ly/IpUNJ http://pbs.twimg.com/media/B87o1llIUAEbWv1.jpg"
527,How to Lose 50 Pounds Without Really Trying. Seriously. http://ow.ly/InpGd
528,RT ElizabethRenter: My latest for USNewsHealth and nerdhealth 6 Ways to Be Your Own Health Advocate  http://buff.ly/16qFjoT Health Hea…
529,"If you're eating only with your mouth, you're missing out, says healthybites. How to engage all your senses. http://ow.ly/ImLXy"
530,Are you getting enough sleep? leonardkl breaks down the sleepfoundation's new guidelines: http://ow.ly/Ira1D
531,"RT AnnaMedaris: Have you dated on a diet, w/ food restrictions, or after giving up alcohol? I'd love to hear your story &amp; advice!"
532,"From basic training to fashion fitness, what's the most effective workout for you? http://ow.ly/IrE1n"
533,"Which is better: ""whole grain"" or ""multigrain""? http://ow.ly/IrEwV"
534,"Don't want to get a colonoscopy? You may not have to, reports CraneKristine http://ow.ly/IrFnA"
535,10 Ways to Get More Sleep by ScritchfieldRD http://ow.ly/Ir8ej
536,Teens &amp; young adults now differ in amounts of recommended sleep. Are you getting enough? http://ow.ly/IrF3O
537,"A healthy diet is good for more than our waistlines, says jeffnesbit http://ow.ly/Isaz7 climatechange environment"
538,"Say ""no"" to small, achievable goals and ""yes"" to dreaming big, says scottrigsby http://ow.ly/Imq63"
539,"Make Breakfast, Not War. 6 ideas from tamaraduker http://ow.ly/ItLuc paleo glutenfree vegetarian"
540,Most Americans don't know what causes cancer. Do you? http://ow.ly/ItRar WorldCancerDay
541,"What's a ""Health Coach""? Sarah Haskins from WholeGreenYou breaks it down. http://ow.ly/Iudp8"
542,Hate exercise? 4 tips to get moving if physical activity just isn't your thing. http://ow.ly/IuwP3
543,RT leonardkl: Should U.S. teens be allowed to turn down chemotherapy if they don't want it? http://bit.ly/1CFMgvD WorldCancerDay
544,"(Some) Good news on stress: It's declining, finds APA's new StressinAmerica survey. http://ow.ly/IuzjP http://pbs.twimg.com/media/B9BClBnIMAATPst.jpg"
545,"RT angelahaupt: It's WorldCancerDay, and leonardkl reports that most Americans don't know what causes cancer: http://t.usnews.com/Z6gkck"
546,10 Questions to Ask Your Doctor About Prostate Cancer: http://ow.ly/IuQjb WorldCancerDay
547,Eating a sandwich &amp; walking just a few hours after surgery? Welcome to the European style of recovery. http://ow.ly/IuZSD
548,"Should restaurant employees be able to ""opt out"" of handwashing? http://ow.ly/Iv2Bf"
549,RT Steph_Steinberg: APA: Americans’ stress has declined since 2007. $ = the top stressor http://t.usnews.com/Z6h497 http://pbs.twimg.com/media/B9A88RoIAAE4z3y.png
550,This woman has lung cancer. She's never smoked. http://ow.ly/IvpgK WorldCancerDay http://pbs.twimg.com/media/B9B4R-TIEAA3_o9.jpg
551,Confession: I Hate Exercise http://ow.ly/IvoDH
552,"In honor of WorldCancerDay, CraneKristine reports on ""7 Innovations in Cancer Therapy"" http://ow.ly/Iv36O"
553,How music &amp; acupuncture are helping to manage kids' pain: http://ow.ly/IvpUV parenting
554,"RT AnnaMedaris: Do you hate exercise? Then you must also hate sex, one expert says. http://ow.ly/Iuwi0"
555,"What's for breakfast? tamaraduker's tasty ideas for paleo, glutenfree, vegan, vegetarian &amp; more: http://ow.ly/IxnOp"
556,Fasting 12 hours before colorectal surgery? Old news! http://ow.ly/IxoHs
557,Is your PMS normal? http://ow.ly/IxpcX
